№, Источник, Текст, Строк
56,Русские народные частушки.html,"Утром маме наша Мила 
Две конфетки подарила
Подарить едва успела, 
Тут же их сама и съела",4
57,Русские народные частушки.html,"Поленился утром Вова 
Причесаться гребешком, 
Подошла к нему корова, 
Причесала языком!",4
58,Русские народные частушки.html,"С горки ехала Иришка - 
Самой быстрою была; 
Ира даже свои лыжи 
По пути обогнала!",4
59,Русские народные частушки.html,"Кабы, кабы да кабы 
На носу росли грибы, 
Сами бы варилися 
Да и в рот катилися",4
60,Русские народные частушки.html,"Выйду, выйду я плясать 
В новеньких ботинках, 
Все ребята говорят, 
Что я как картинка!",4
61,Русские народные частушки.html,"Заиграй-ка, балалайка, 
Балалайка - три струны! 
Подпевайте, не зевайте, 
Выходите, плясуны",4
62,Русские народные частушки.html,"Я не тятькина 
Я не мамкина - 
Я на улице росла, 
Меня курица снесла",4
63,Русские народные частушки.html,"Две лопатки у Егора, 
А у Нины - формочки
Я за это им язык 
Высуну из форточки",4
64,Русские народные частушки.html,"Я куличик испекла, 
Угостила Ваню
Он за это показал 
Мне жука в стакане",4
65,Русские народные частушки.html,"Письму мышонка дед учил, 
А вышли-то каракули
Мышонок двойку получил
И оба горько плакали",4
66,Русские народные частушки.html,"Говорит лентяйке мать: 
«Убери свою кровать!», 
А лентяйка: «Маменька, 
Я же еще маленька»",4
67,Русские народные частушки.html,"Закопченную кастрюлю 
Маня чистила песком
Три часа под душем Маню 
Мыла бабушка потом",4
68,Русские народные частушки.html,"Одевался Дима утром 
И свалился почему-то: 
Он засунул без причины 
Две ноги в одну штанину",4
69,Русские народные частушки.html,"Я под краном руки мыла, 
А лицо умыть забыла, 
Увидал меня Трезор 
Гавкнул он: «Какой позор!»",4
70,Русские народные частушки.html,"Кипятила молоко, 
Отошла недалеко,
Подхожу к нему опять: 
Молока уж не видать",4
71,Русские народные частушки.html,"Эх, раз, еще раз, 
Мы поклонимся сейчас, 
Начинаем перепляс, 
Постараемся для вас!
Начинаем петь частушки, 
Просим не смеяться: 
Тут народу очень много, 
Можем растеряться!",8
72,Русские народные частушки.html,"Я подрос на сантиметр, 
А Витёк - на целых пять
А Лариска растолстела, 
Целым классом не обнять",4
73,Русские народные частушки.html,"Сидит Ванька у ворот 
Широко разинув рот, 
А народ не разберет,
Где ворота, а где рот",4
74,Русские народные частушки.html,"Мышку в клетку я поймал 
И там запер крепко, 
Ведь без мышки не собрать 
В огороде репку",4
75,Русские народные частушки.html,"Как по саду-огороду 
Любит козочка гулять
После этого похода 
Урожая не собрать!",4
76,Русские народные частушки.html,"Я корова хоть куда! 
Как венец мои рога
Кто меня проведает, 
Молочка отведает!",4
77,Русские народные частушки.html,"У меня на сарафане 
Петушки да петушки 
В целом мире нету краше 
Моей милой бабушки!",4
78,Русские народные частушки.html,"Саша с Машей поиграли 
Все игрушки разбросали, 
Стали спорить и кричать 
Кому игрушки собирать!",4
79,Русские народные частушки.html,"Любят маленькие детки 
Всевозможные конфетки
Кто грызет, а кто глотает, 
Кто за щечкою катает",4
80,Русские народные частушки.html,"Вот как Петя хорошо 
Поливает грядку! 
Там теперь все лягушата 
Делают зарядку",4
81,Русские народные частушки.html,"На рыбалку я ходил, 
Удочку закинул
Клюнул толстый крокодил – 
Лодку опрокинул!",4
82,Русские народные частушки.html,"В прятки мы в лесу играли 
И Оксанку потеряли
Забралась в дупло она – 
Проспала там до темна!",4
83,Русские народные частушки.html,"Летом каждая полянка, 
Словно скатерть-самобранка
Вкусной ягодой лесной 
Враз накормит нас с тобой",4
84,Русские народные частушки.html,"– Это что же за грибочки 
Облепили все пенёчки? 
– Повезло же вам, ребята, 
Это – дружные опята!",4
85,Русские народные частушки.html,"Вон те рыжие подружки 
Называются волнушки
Поспеши ты к ним, Иринка, 
Пригласи к себе в корзинку",4
86,Русские народные частушки.html,"Разрешила мама дочке 
Утром сбегать по грибочки
Принесла дочурка скоро 
Две корзинки мухоморов",4
87,Русские народные частушки.html,"Эх, подружка дорогая, 
Про нас знает весь народ
Без тебя никто не спляшет, 
Без меня — не запоет",4
88,Русские народные частушки.html,"Я частушку на частушку, 
Как на ниточку, вяжу
Ты досказывай, подружка, 
Если я не доскажу",4
89,Русские народные частушки.html,"Не смотрите на меня, 
Что я худоватая
Мамка салом не кормила, 
Я не виноватая",4
90,Русские народные частушки.html,"Не ругай меня, маманя, 
Не ругай так грозно
Ты сама была такая — 
Приходила поздно",4
91,Русские народные частушки.html,"За деревней на пруду 
Квакают лягушки
А я милёночку лапшу - 
Вешаю на ушки",4
92,Русские народные частушки.html,"Ох, ты, яма, яма, яма… 
Я не знаю, кто копал
Шел милёнок на свиданье, 
Невзначай в неё упал",4
93,Русские народные частушки.html,"Я готовила по книжке, 
А она закрылася… 
Как теперь я угадаю, 
Что же там сварилося",4
94,Русские народные частушки.html,"Я цветочки поливала 
На балконе леечкой
Почему-то стал вдруг мокрым 
Дядя на скамеечке",4
95,Русские народные частушки.html,"А как боркински ребята 
Храбрецы так храбрецы
Три километра бежали — 
Испугалися овцы",4
96,Русские народные частушки.html,"А мне милый изменил, 
На козе уехал в Крым, 
А я маху не дала, 
На корове догнала",4
97,Русские народные частушки.html,"Ах, топнула я, 
И не топнула я
Съела пряников полпуда 
И не лопнула я",4
98,Русские народные частушки.html,"Вы пеките пироги 
И не лезьте, мама! 
Встали вы не с той ноги, - 
Зять твердил упрямо",4
99,Русские народные частушки.html,"Приходи ко мне любимый, 
Пирогами накормлю
Даже, если очень сивый, 
Все равно тебя люблю",4
100,Русские народные частушки.html,"Народ масленицу любит, 
Весело гуляет! 
На морозе пироги 
Лихо уплетает",4
101,Русские народные частушки.html,"Милый ходит все кругами
Ничего не говорит
Накормила пирогами - 
У него живот болит!",4
102,Русские народные частушки.html,"Гостям жарила котлеты - 
Получились пироги
Но никто не догадался, 
За минуту все смели!",4
103,Русские народные частушки.html,"Наступили холода, 
Холода суровые, 
А мне тёща напекла 
Пироги медовые",4
104,Русские народные частушки.html,"Выбрал кот одну тропинку 
И на ней он встретил Нинку
Несла Нинка пирожки, - 
Коту радость и смешки",4
105,Русские народные частушки.html,"Пирожки-то с пылу - с жару! 
К чайнику и самовару! 
Вы, друзья, скорей садитесь! 
Ну, а хозяйку-то - хвалите!  
Ну, а хозяйку-то хвалите! 
Прямо с этого начните 
Ведь потом займут вам рты 
С пылу - с жару пироги!",8
106,Русские народные частушки.html,"Написал я ей сонеты, 
Называл её «дружок», 
А она в ответ на это: 
Скушай с полки пирожок!",4
107,Русские народные частушки.html,"В свою старую избу 
Всех я зазываю, 
Стол накрыт давным давно, 
Пирог уж остывает!",4
108,Русские народные частушки.html,"Напекла я пирогов, 
На окно поставила
Поклевала все ворона, 
Крошек не оставила",4
109,Русские народные частушки.html,"Я любила бабу Дусю, 
Пироги когда пекла 
С винегретом и морковкой, 
То меня всегда звала",4
110,Русские народные частушки.html,"Хороша у нас природа, 
Речка рядом, лес кругом! 
Угощайтесь-ка с малиной 
Да и с рыбкой пирогом!",4
111,Русские народные частушки.html,"Пироги в обед с вареньем  
Тоже очень вредны нам
Мы теперь их с наслажденьем  
Кушаем по вечерам!",4
112,Русские народные частушки.html,"Мой миленок занемог,
Когда мне испёк пирог, 
Слопал сам, теперь страдает – 
И все крошки доедает",4
113,Русские народные частушки.html,"Что-то к тёще захотел, 
Пироги есть славные! 
Эх, вернемся мы назад, 
Гости мы не званные",4
114,Русские народные частушки.html,"Я к милашке приезжаю
За столом я пью компот
Рядом милая садится
Пирожки кладёт мне в рот",4
115,Русские народные частушки.html,"Рано милый веселился, 
В рот не лезут пироги
Ты же знал, что Василиса – 
Внучка бабушки Яги!",4
116,Русские народные частушки.html,"Кто куда? А я всё к маме
К тёще еду на блины
Нас накормит пирогами
Очень уж они вкусны",4
117,Русские народные частушки.html,"С пирожками осторожней 
Надо бы, миленок, быть! 
Отравиться ведь возможно - 
Как потом тебя лечить?",4
118,Русские народные частушки.html,"Нарисую пирамиду, 
Нарисую я кружок
Удивляются другие, - 
Какой толстый пирожок",4
119,Русские народные частушки.html,"Пропоём мы о Ветлуге, 
Слушайте, внимайте! 
Ешьте наши пироги, 
Чаю наливайте!",4
120,Русские народные частушки.html,"Знать торопится милок, 
Бредит о свиданье
Испеку-ка я пирог, - 
Проявлю вниманье!",4
121,Русские народные частушки.html,"Подгорели пироги, 
Их соседи принесли
Я немного откушу 
И в соседа запущу",4
122,Русские народные частушки.html,"Снова ты сварила щи, 
Ими рот пополощи
Пойду к Катьке на порог, 
Пригласила на пирог",4
123,Русские народные частушки.html,"Я сидела на окошке, 
Ехал милый мой на кошке, 
Стал к окошку подъезжать 
Не мог кошку удержать",4
124,Русские народные частушки.html,"Три недели не купался, 
И поймал не пузе вошь
Она толстая, большая, 
Из винтовки не убьешь",4
125,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Хилми в хату вошёл сразу — 
Все загадки выучил 
Но нарочно ошибался — 
выбирал не вилочку",4
126,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Запретили иноагентам теперь всю рекламу 
Наконец-то Дудь продаст своё очко и маму",2
127,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"С пацанами ходим в баню и болеем за «Спартак» 
Там в парилке ХАЗЯЕВА друг другу делали клик-клак",2
128,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Алишеру въезд закрыли — плакали Дубаи 
Он не сможет стул понюхать у своей Дилары",2
129,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Пропердела кресло дома в Дубаях Дилара 
Стал очень довольным сразу Бустеренко Слава",2
130,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Мне Mellstroy закинул сотку за привет от футболиста 
Пусть заплатит лям Иисусу — папа воскресится",2
131,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Симонов Серёга топит за добро и позитив 
Обоссался, обосралс тётя Вика, забери",2
132,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Ивангай сошёл с ума от своих наркотиков 
Больше про него сказать мне нечего тут, вроде бы",2
133,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"У THRILL PILL'а горит жопа, когда рядом Бургер Кинг 
Геморрой из жопы вылез, он размером как плавник",2
134,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Беременна в 16 Чё из неё вылезает? 
Просто ж поебался",2
135,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Бустера затрахал весь наш стримерский клоповник 
И на СВО прибавка — плюс один полковник",2
136,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Баста в лес гулять не ходит — там гуляют ёжики 
После 90-х его триггерят иголочки",2
137,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"К нам Киркоров в гости ехал, 
дверь была закрыта 
Через чёрный вход влетел — 
сбылась мечта Филиппа",4
138,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Света Соллар на стриме нам показала что-то 
Охуенно быть девчонкой с майонезной жопой",2
139,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"На опушке ранним утром мы гуляли натощак 
Слышу крики: там медведь ебёт в очко Ксюшу Собчак",2
140,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Лёша Кореш, сука, нытик — это всё по фактам 
Сам себе гараж обчистил — сам потом заплакал",2
141,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Срослась пизда и жопа 
Здесь вам не Америка, 
и здесь вам не Европа",3
142,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Мистер Бист приехал в Ачинск записать себе видос 
В самолёт ему насрали и разбили ебасос",2
143,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"К нам пришла весна, и стало жить намного слаще 
Айтипедию Банан ебёт намного чаще",2
144,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Наш Никита Кологривый — парень беспонтовый 
Его в жопу отъебали пацаны за слово",2
145,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"У SHAMAN'а на концерте фаера и жесткий слэм 
Он же за концерт в гей-клубе вместо денег взял интим",2
146,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Тут частушечка была про Илюшу Мэда 
Но всем похуй на него…",2
147,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Хесус — стример политичный, и ему нормально 
Завтра нам он разыграет те трусы Эльдара",2
148,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Давеча узнал на стриме, что Замай стал папою 
Улетел в Европу хан усыновить Джарахова",2
149,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Влад Бумага сделал челлендж — ел говно на стриме 
В килограммах вышло даже не два, а четыре",2
150,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Некоглай не любит колу — это не позор 
Ведь у него опять флешбеки из московского СИЗО",2
151,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Хесус стримит казино — паренёк зажрался 
Говорил, не будет, ну чё, ****, обосрался?",2
152,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Скайрим, пиво, Уральские пельмени 
А скуфяре рвали жопу в танках на ивенте",2
153,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Из-за леса выезжает конная милиция 
Становись-ка, девки, раком — будет репетиция!",2
154,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Я приехала в колхоз имени Мичурина 
Так и знала — отъебут, словно сердце чуяло!",2
155,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мимо тёщиного дома я без шуток не хожу 
То им хер в забор просуну, то им жопу покажу!",2
156,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Я на Севере была, 
золото копала 
Если б не моя пизда — 
с голоду б пропала!",4
158,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"На мосту стоял прохожий, 
на ебёна мать похожий, 
Вдруг, откуда ни возьмись, 
появился, в рот ебись!",4
159,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Полюбила парня я,
да оказался без хуя, 
Да нахуя ж мне без хуя, 
когда с хуем дохуя?!",4
160,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Как у нас на опушке 
соловей ебёт кукушку, 
Только слышно на суку: 
«Чирик, пиздык, хуяк, ку-ку!»",4
161,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с милёнком у метра
целовались до утра, 
Целовались бы ещё, 
да болит влагалищо!",4
164,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"А девки в озере купались, 
хуй резиновый нашли 
Целый день они ебались, 
даже в школу не пошли!",4
165,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мой милёнок под забором
хуй берёзовый нашёл 
Примеряли всем народом — 
никому не подошёл!",4
166,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"А из-за леса, из-за гор 
показал мужик топор 
Но не просто показал — 
его к хую привязал!",4
167,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с милёнком целовались, стоя у завалинки 
А я стояла и ссала ему на белы валенки!",2
169,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Маньке целочку порвали, 
Саньку в жопу выебли 
Опосля в рояль насрали — 
чудно время провели!",4
171,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с милёночком еблись 
в сорокоградусный мороз, 
Жопа инеем покрылась, 
хуй стоял, как Дед Мороз!",4
172,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"На Вогрэсовском мосту 
церковь обокрали 
В жопу выебли попа 
и в колокол насрали!",4
173,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Я сосала давеча 
у Сергея Савича, 
Он на вид холёненький, 
а на вкус солёненький!",4
174,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Помидоры, помидоры, помидоры, овощи 
Пизда едет на кобыле, хуй на скорой помощи!",2
175,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Полюбила хунвейбина 
и повесила портрет 
А на утро поглядела: 
хуй висит, а бина нет!",4
176,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с приятелем вдвоём работали на дизеле 
Он лопух, и я лопух — у нас теплушку спиздили!",2
177,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Полюбила тракториста и, как водится, дала 
Три недели сиськи мыла и соляркою ссала!",2
180,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мне подружка дорогая передаёт по рации: 
«Я без „Комбинации“ как без менструации!»",2
181,ChASTUShKI-18-MAT.html,"Здравствуй Лёнька дорогой, как твое здоровье? 
Ну че ты выпучил глаза, как пизда коровья?",2
182,ChASTUShKI-18-MAT.html,"Цыган цыганке говорит - 
У меня всегда стоит 
На столе бутылочка
Давай ка выпьем, милочка",4
183,ChASTUShKI-18-MAT.html,"Как бежал мимо амбара, 
думал мыши там пищат 
Глянул, две пизды дерутся, 
только волосы трещат",4
184,ChASTUShKI-18-MAT.html,"А мне мама говорит - 
Ходи осторожно! 
Под тракториста не ложись, 
под гармониста можно",2
185,ChASTUShKI-18-MAT.html,"Ох ты, Ленька, дорогой, не умеешь заводить 
Тебе только на базаре ишака за хуй водить",2
186,ChASTUShKI-18-MAT.html,"Когда дождик моросил, 
я стоял тебя просил 
Когда дождик перестал, 
ты дала, а я не стал",4
187,ChASTUShKI-18-MAT.html,"Не заводится машина, 
не работает мотор 
Нихуя не может сделать 
в жопу ебаный шофер",4
188,ChASTUShKI-18-MAT.html,"Полюбила ты его,
думала калека 
А как вывалил из штанов, 
убьет человека",4
189,ChASTUShKI-18-MAT.html,"Подари мне милый мину, 
я в пизду ее закину 
Если враг туда ворвется, 
он на мине подорвется",4
190,ChASTUShKI-18-MAT.html,"Гармонист у нас хороший, 
гармонист у нас один 
Давай девки соберемся 
и по разику дадим",4
191,ChASTUShKI-18-MAT.html,"За деревней у реки 
баба сенокосила 
Увидала хуй большой, 
сразу косу бросила",4
192,ChASTUShKI-18-MAT.html,"Открывай мамаша двери,
я с гуляночки иду 
Парни титьки все помяли 
и взъерошили пизду",4
193,ChASTUShKI-18-MAT.html,"За рекой ебут барана, 
я баранины хочу 
Если мать меня не женит, 
хуем печку сворочу",4
194,ChASTUShKI-18-MAT.html,"Над селом хуйня летала
с серебристого металла 
Очень много в наши дни 
неопознанной хуйни",4
195,ChASTUShKI-18-MAT.html,"Эх ёп вашу мать 
с вашими делами 
Не даете девку замуж, 
так ебите сами",4
196,ChASTUShKI-18-MAT.html,"Шел я лесом видел чудо, 
чудо видело меня 
Если б я не выеб чудо, 
чудо б выебло меня",4
198,ChASTUShKI-18-MAT.html,"На горе стоит береза, 
а береза гнутая 
По твоим глазам я вижу, 
что ты ебанутая",4
199,Veselye-Russkie-chastushki.html,"Не ходи по коридору 
Не стучи калошами 
Всё равно любить не буду 
Морда как у лошади!",4
200,Veselye-Russkie-chastushki.html,"В огороде завелись Колорадские жуки
Проживем и без картошки – Были б только мужики",2
