№,Источник,Текст,Строк,Схема_рифмовки,Рифмующиеся_слова,Валидность
85,Veselye-Russkie-chastushki.html,"Не хочу я чаю пить, 
Не хочу заваривать, 
Не хочу тебя любить 
И даже разговаривать!",4,ABAB,"['пить', 'заваривать', 'любить', 'разговаривать']",1.0
372,Сгенерировано AI (Perplexity),"Самогонку бабка варит
Три недели настаивает
Выпьешь стопку и забудешь
Как тебя величают",4,ABCB,"['варит', 'настаивает', 'забудешь', 'величают']",1.0
389,Сгенерировано AI (Perplexity),"Милый мой работал в обсерватории
Сверхновые ловил он редкие
Но в постели как учёный
Все вспышки фиксировал крепкие",4,ABCB,"['обсерватории', 'редкие', 'учёный', 'крепкие']",1.0
496,Сгенерировано AI (Perplexity),"Самогон мы пили с дядей
Вся деревня нас видала
А когда домой пришли
Бабка веником встречала",4,ABCB,"['дядей', 'видала', 'пришли', 'встречала']",1.0
31,Русские народные частушки.html,"У меня на сарафане 
Косолапы петухи; 
Я сама не косолапа — 
Косолапы женихи",4,ABCB,"['сарафане', 'петухи', 'косолапа', 'женихи']",1.0
317,Сгенерировано AI (Perplexity),"Самогон мы с зятем
Пили в гараже всю ночь
А когда домой пришли
Тёща выгнала нас прочь",4,ABCB,"['зятем', 'ночь', 'пришли', 'прочь']",1.0
409,Сгенерировано AI (Perplexity),"Парень мой работал грузчиком
Тяжести таскал он смело
Но в постели как атлет
Все рекорды ставил всецело",4,ABCB,"['грузчиком', 'смело', 'атлет', 'всецело']",1.0
491,Сгенерировано AI (Perplexity),"Я работала ткачихой
Полотно ткала узорное
Но мастер главный был
Свой узор показал проворное",4,ABCB,"['ткачихой', 'узорное', 'был', 'проворное']",1.0
492,Сгенерировано AI (Perplexity),"Милый мой работал кузнецом
Подковы делал звонкие
Но в постели как мастер
Все удары были тонкие",4,ABCB,"['кузнецом', 'звонкие', 'мастер', 'тонкие']",1.0
281,Сгенерировано AI (Perplexity),"Парень мой работал на почте
Письма разносил он в срок
Но в постели как курьер
Все посылки доставлял в срок",4,ABCB,"['почте', 'срок', 'курьер', 'срок']",1.0
357,Сгенерировано AI (Perplexity),"Самогон мы с девером
Пили на чердаке тесном
А когда жена узнала
Выгнала нас с места",4,ABCB,"['девером', 'тесном', 'узнала', 'места']",1.0
77,Русские народные частушки.html,"Вы пеките пироги 
И не лезьте, мама! 
Встали вы не с той ноги, - 
Зять твердил упрямо",4,ABAB,"['пироги', 'мама', 'ноги', 'упрямо']",1.0
462,Сгенерировано AI (Perplexity),"Милый мой работал печником
Печи клал он жаркие
Но в постели как мастер
Все топки делал яркие",4,ABCB,"['печником', 'жаркие', 'мастер', 'яркие']",1.0
498,Сгенерировано AI (Perplexity),"Милый мой работал возчиком
Сено возил на телеге
Но в постели как ямщик
Все дороги знал он разные",4,ABCB,"['возчиком', 'телеге', 'ямщик', 'разные']",1.0
212,Сгенерировано AI (Perplexity),"Милый мой служил в ментовке
Был он строгий очень прямо
Но в постели разрешал всё
Даже наручники одевал",4,ABCB,"['ментовке', 'прямо', 'всё', 'одевал']",1.0
102,Русские народные частушки.html,"Вам под самой крышей рая 
Свить гнездо своё желаем! 
И чтоб было то гнездо 
Полной чашей на все сто!",4,AABB,"['рая', 'желаем', 'гнездо', 'сто']",1.0
335,Сгенерировано AI (Perplexity),"На вернисаже я была
Художник выставку открывал
Он меня к себе позвал
И свой эскиз показал",4,ABCB,"['была', 'открывал', 'позвал', 'показал']",1.0
476,Сгенерировано AI (Perplexity),"Я любила мельника
Он муку молол он мелко
Но в постели как мастер
Все зёрна перемалывал смелко",4,ABCB,"['мельника', 'мелко', 'мастер', 'смелко']",1.0
337,Сгенерировано AI (Perplexity),"Самогон мы с кумовьями
Пили в бане до утра
А когда все разошлись
Оказались у костра",4,ABCB,"['кумовьями', 'утра', 'разошлись', 'костра']",1.0
441,Сгенерировано AI (Perplexity),"Я работала на фабрике
Ткань ткала я цветную
Но мастер главный был
Свой рулон показал другую",4,ABCB,"['фабрике', 'цветную', 'был', 'другую']",1.0
174,Сгенерировано AI (Perplexity),"Познакомилась с солдатом
Обещал меня любить
А под утро оказалось
Не имеет больше сил",4,ABCB,"['солдатом', 'любить', 'оказалось', 'сил']",1.0
3,Русские народные частушки.html,"Сидит Ванька у ворот 
Широко разинув рот, 
А народ не разберет,
Где ворота, а где рот",4,ABCB,"['ворот', 'рот', 'разберет', 'рот']",1.0
334,Сгенерировано AI (Perplexity),"Милый мой работал в обсерватории
Планеты изучал он дальние
Но в постели как космонавт
Все орбиты проходил крайние",4,ABCB,"['обсерватории', 'дальние', 'космонавт', 'крайние']",1.0
410,Сгенерировано AI (Perplexity),"Самогон мы с батей
Пили тайно в огороде
А когда мать узнала
Прогнала обоих в холоде",4,ABCB,"['батей', 'огороде', 'узнала', 'холоде']",1.0
71,Русские народные частушки.html,"Не ругай меня, маманя, 
Не ругай так грозно
Ты сама была такая — 
Приходила поздно",4,ABAB,"['маманя', 'грозно', 'такая', 'поздно']",1.0
210,Сгенерировано AI (Perplexity),"Самогон мы с мужем пили
Всю ночь веселились дружно
А под утро оказалось
Что сосед с нами был тоже",4,ABCB,"['пили', 'дружно', 'оказалось', 'тоже']",1.0
64,Русские народные частушки.html,"Мой миленок занемог,
Когда мне испёк пирог, 
Слопал сам, теперь страдает – 
И все крошки доедает",4,AABB,"['занемог', 'пирог', 'страдает', 'доедает']",1.0
385,Сгенерировано AI (Perplexity),"На премьере я была
Композитор симфонию представлял
Он меня за кулисы увёл
И свою мелодию дал",4,ABCB,"['была', 'представлял', 'увёл', 'дал']",1.0
94,Русские народные частушки.html,"Ой деды, деды, деды! 
До чего же вы хитры, 
Как иду я по воду - 
Седина вам в бороду",4,AABB,"['деды', 'хитры', 'воду', 'бороду']",1.0
486,Сгенерировано AI (Perplexity),"Я любила печника
Он камины клал он жарко
Но в постели как мастер
Все дымоходы строил ярко",4,ABCB,"['печника', 'жарко', 'мастер', 'ярко']",1.0
186,Сгенерировано AI (Perplexity),"Я на речку искупаться
Без трусов туда пошла
Все мужики смотрели
Что между ног нашла",4,ABCB,"['искупаться', 'пошла', 'смотрели', 'нашла']",1.0
34,Русские народные частушки.html,"Я накрашу губки ярко, 
Я пойду через село, 
Будет всем ребятам жарко, 
Ну а мне-то - весело",4,ABAB,"['ярко', 'село', 'жарко', 'весело']",1.0
78,Русские народные частушки.html,"Я под краном руки мыла, 
А лицо умыть забыла, 
Увидал меня Трезор 
Гавкнул он: «Какой позор!»",4,AABB,"['мыла', 'забыла', 'трезор', 'позор']",1.0
1,Русские народные частушки.html,"Рано милый веселился, 
В рот не лезут пироги
Ты же знал, что Василиса – 
Внучка бабушки Яги!",4,ABAB,"['веселился', 'пироги', 'василиса', 'яги']",1.0
12,Русские народные частушки.html,"Я сидела на печи, 
Сторожила калачи
А за печкой мышки 
Сторожили пышки",4,AABB,"['печи', 'калачи', 'мышки', 'пышки']",1.0
416,Сгенерировано AI (Perplexity),"Я любила геодезиста
Он местность измерял точно
Но в постели как топограф
Все координаты знал прочно",4,ABCB,"['геодезиста', 'точно', 'топограф', 'прочно']",1.0
23,Русские народные частушки.html,"А как боркински ребята 
Храбрецы так храбрецы
Три километра бежали — 
Испугалися овцы",4,ABCB,"['ребята', 'храбрецы', 'бежали', 'овцы']",1.0
73,Русские народные частушки.html,"Я готовила по книжке, 
А она закрылася… 
Как теперь я угадаю, 
Что же там сварилося",4,ABCB,"['книжке', 'закрылася', 'угадаю', 'сварилося']",1.0
183,Сгенерировано AI (Perplexity),"Милый в армию ушёл
Я писала ему письма
Он вернулся через год
Принёс венерическую быстро",4,ABCB,"['ушёл', 'письма', 'год', 'быстро']",1.0
132,Русские народные частушки.html,"Что случилось, ой-ой-ой, 
Не найти нам места: 
Дочка махонька такая — 
Вот уж и невеста!",4,ABCB,"['ойойой', 'места', 'такая', 'невеста']",1.0
411,Сгенерировано AI (Perplexity),"Я работала кассиром
Деньги считала целый день
Но директор магазина
Свою премию дал мне",4,ABCB,"['кассиром', 'день', 'магазина', 'мне']",1.0
194,Сгенерировано AI (Perplexity),"Милый мой меня ревнует
К каждому второму парню
А я просто так гуляю
С кем хочу того люблю",4,ABCB,"['ревнует', 'парню', 'гуляю', 'люблю']",1.0
56,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Как у нас на опушке 
соловей ебёт кукушку, 
Только слышно на суку: 
«Чирик, пиздык, хуяк, ку-ку!»",4,AABB,"['опушке', 'кукушку', 'суку', 'куку']",1.0
149,Русские народные частушки.html,"Все у тестя по уму! 
Любит он свою жену! 
Деньги лихо достает — 
Дочку замуж отдает!",4,AABB,"['уму', 'жену', 'достает', 'отдает']",1.0
19,ChASTUShKI-18-MAT.html,"За деревней у реки 
баба сенокосила 
Увидала хуй большой, 
сразу косу бросила",4,ABCB,"['реки', 'сенокосила', 'большой', 'бросила']",1.0
205,Сгенерировано AI (Perplexity),"На работу я ходила
Там начальник был молодой
Он меня к себе позвал
Премию выдал стояк большой",4,ABCB,"['ходила', 'молодой', 'позвал', 'большой']",1.0
79,Русские народные частушки.html,"Приезжали меня сватать 
С позолоченной дугой
Пока пудрилась, румянилась, 
Уехали к другой",4,ABCB,"['сватать', 'дугой', 'румянилась', 'другой']",1.0
495,Сгенерировано AI (Perplexity),"Самогонку бабка варит
Восемь недель настаивает
Выпьешь рюмку и забудешь
Какой век сейчас бывает",4,ABCB,"['варит', 'настаивает', 'забудешь', 'бывает']",1.0
263,Сгенерировано AI (Perplexity),"Я любила архитектора
Он здания проектировал
Но в постели как строитель
Все конструкции возводил",4,ABCB,"['архитектора', 'проектировал', 'строитель', 'возводил']",1.0
324,Сгенерировано AI (Perplexity),"Милый мой работал на АЗС
Бензин заливал машинам
Но в постели как заправщик
Все баки наполнял лихо",4,ABCB,"['азс', 'машинам', 'заправщик', 'лихо']",1.0
484,Сгенерировано AI (Perplexity),"Парень мой работал плотником
Лодки мастерил он прочно
Но в постели как корабел
Все детали подгонял точно",4,ABCB,"['плотником', 'прочно', 'корабел', 'точно']",1.0
80,Русские народные частушки.html,"Музыка у нас играет — 
Пусть не остановится! 
Муж жену когда целует — 
Завидно становится!",4,ABCB,"['играет', 'остановится', 'целует', 'становится']",1.0
40,Русские народные частушки.html,"Я цветочки поливала 
На балконе леечкой
Почему-то стал вдруг мокрым 
Дядя на скамеечке",4,ABCB,"['поливала', 'леечкой', 'мокрым', 'скамеечке']",1.0
452,Сгенерировано AI (Perplexity),"Милый мой работал на заводе
Металл плавил он горячий
Но в постели как литейщик
Все формы заливал удачно",4,ABCB,"['заводе', 'горячий', 'литейщик', 'удачно']",1.0
47,Русские народные частушки.html,"Закопченную кастрюлю 
Маня чистила песком
Три часа под душем Маню 
Мыла бабушка потом",4,ABCB,"['кастрюлю', 'песком', 'маню', 'потом']",1.0
239,Сгенерировано AI (Perplexity),"Я работала в библиотеке
Книги там читала много
Но один читатель был
Своё произведение показал лихо",4,ABCB,"['библиотеке', 'много', 'был', 'лихо']",1.0
392,Сгенерировано AI (Perplexity),"Самогонку бабка варит
Пять недель её гоняет
Выпьешь рюмку и ослепнешь
Кто ты есть не понимаешь",4,ABCB,"['варит', 'гоняет', 'ослепнешь', 'понимаешь']",1.0
353,Сгенерировано AI (Perplexity),"Я любила картографа
Он карты рисовал подробно
Но в постели как навигатор
Все маршруты прошёл свободно",4,ABCB,"['картографа', 'подробно', 'навигатор', 'свободно']",1.0
342,Сгенерировано AI (Perplexity),"Самогонку деду налили
Он выпил пять стаканов
А когда протрезвел утром
Не нашёл свои штаны",4,ABCB,"['налили', 'стаканов', 'утром', 'штаны']",1.0
278,Сгенерировано AI (Perplexity),"Я работала секретарём
Документы оформляла
Но начальник однажды
Свою папку показал наглядно",4,ABCB,"['секретарём', 'оформляла', 'однажды', 'наглядно']",1.0
291,Сгенерировано AI (Perplexity),"Парень мой работал на складе
Товары грузил он тяжко
Но в постели как грузчик
Все коробки переставлял важно",4,ABCB,"['складе', 'тяжко', 'грузчик', 'важно']",1.0
318,Сгенерировано AI (Perplexity),"Я работала в химчистке
Вещи стирала аккуратно
Но один клиент задержался
Свою стирку показал обратно",4,ABCB,"['химчистке', 'аккуратно', 'задержался', 'обратно']",1.0
305,Сгенерировано AI (Perplexity),"На корпоративе я была
Начальник тосты говорил
После праздника меня
В кабинет свой пригласил",4,ABCB,"['была', 'говорил', 'меня', 'пригласил']",1.0
269,Сгенерировано AI (Perplexity),"Милый мой работал тренером
В спортзале качался сильно
Но в постели как атлет
Все упражнения делал лихо",4,ABCB,"['тренером', 'сильно', 'атлет', 'лихо']",1.0
70,Русские народные частушки.html,"В прятки мы в лесу играли 
И Оксанку потеряли
Забралась в дупло она – 
Проспала там до темна!",4,AABB,"['играли', 'потеряли', 'она', 'темна']",1.0
456,Сгенерировано AI (Perplexity),"Я любила стекольщика
Он окна вставлял он ровно
Но в постели как мастер
Все рамы подгонял вольно",4,ABCB,"['стекольщика', 'ровно', 'мастер', 'вольно']",1.0
466,Сгенерировано AI (Perplexity),"Я любила кузнеца
Он подковы ковал звонко
Но в постели как мастер
Все гвозди забивал тонко",4,ABCB,"['кузнеца', 'звонко', 'мастер', 'тонко']",1.0
155,Русские народные частушки.html,"Снова ты сварила щи, 
Ими рот пополощи
Пойду к Катьке на порог, 
Пригласила на пирог",4,AABB,"['щи', 'пополощи', 'порог', 'пирог']",1.0
83,Veselye-Russkie-chastushki.html,"Ах, была я молодая, 
Ах, была я резвая, 
И в окошко за гармошкой 
К гармонисту лезла я!",4,ABCB,"['молодая', 'резвая', 'гармошкой', 'я']",1.0
478,Сгенерировано AI (Perplexity),"На свадьбе я гуляла
Музыканты там играли
Один скрипач меня позвал
И на струнах мне сыграл",4,ABCB,"['гуляла', 'играли', 'позвал', 'сыграл']",1.0
173,Сгенерировано AI (Perplexity),"Я частушечки пою
Милый просит повторить
Если песни не даю
Не даёт мне спать всю ночь",4,ABCB,"['пою', 'повторить', 'даю', 'ночь']",1.0
322,Сгенерировано AI (Perplexity),"Самогонку деду дали
Он напился и уснул
А когда он пробудился
Оказался в огороде на сундук",4,ABCB,"['дали', 'уснул', 'пробудился', 'сундук']",1.0
91,Русские народные частушки.html,"Нарисую пирамиду, 
Нарисую я кружок
Удивляются другие, - 
Какой толстый пирожок",4,ABCB,"['пирамиду', 'кружок', 'другие', 'пирожок']",1.0
181,Сгенерировано AI (Perplexity),"Парень мой гулять ходил
В баню с девками ходил
Говорит не изменял
А засосы откуда взял",4,AABB,"['ходил', 'ходил', 'изменял', 'взял']",1.0
415,Сгенерировано AI (Perplexity),"Самогонку бабка льёт
Всей деревне по ковшу
Выпьют все и начинают
Петь частушки что хочу",4,ABCB,"['льёт', 'ковшу', 'начинают', 'хочу']",1.0
313,Сгенерировано AI (Perplexity),"Я любила ветеринара
Он животных лечил разных
Но в постели как доктор
Все процедуры делал классно",4,ABCB,"['ветеринара', 'разных', 'доктор', 'классно']",1.0
279,Сгенерировано AI (Perplexity),"Милый мой работал механиком
Машины чинил он быстро
Но в постели как мастер
Все детали проверял чисто",4,ABCB,"['механиком', 'быстро', 'мастер', 'чисто']",1.0
382,Сгенерировано AI (Perplexity),"Самогонку деду налили
Он выпил семь стаканов
А когда очнулся снова
Оказался без портфелей и планов",4,ABCB,"['налили', 'стаканов', 'снова', 'планов']",1.0
473,Сгенерировано AI (Perplexity),"На празднике я была
Клоун шутки рассказывал
Он меня за угол увёл
И свой номер показывал",4,ABCB,"['была', 'рассказывал', 'увёл', 'показывал']",1.0
363,Сгенерировано AI (Perplexity),"Я любила палеонтолога
Он кости искал древние
Но в постели как учёный
Все останки изучил родные",4,ABCB,"['палеонтолога', 'древние', 'учёный', 'родные']",1.0
325,Сгенерировано AI (Perplexity),"На фотосессии я была
Фотограф меня снимал
После съёмки он меня
В студию свою позвал",4,ABCB,"['была', 'снимал', 'меня', 'позвал']",1.0
432,Сгенерировано AI (Perplexity),"Милый мой работал на вышке
Нефть качал он из земли
Но в постели как мастер
Все скважины бурил внутри",4,ABCB,"['вышке', 'земли', 'мастер', 'внутри']",1.0
348,Сгенерировано AI (Perplexity),"Я работала в турбюро
Маршруты прокладывала дальние
Но директор как-то раз
Свою путёвку дал крайнюю",4,ABCB,"['турбюро', 'дальние', 'раз', 'крайнюю']",1.0
87,Русские народные частушки.html,"Завела гармонь девчонку, 
От любви блестят глаза
Полюбила гармониста, 
Не сдержала тормоза",4,ABCB,"['девчонку', 'глаза', 'гармониста', 'тормоза']",1.0
76,Русские народные частушки.html,"Ах, топнула я, 
И не топнула я
Съела пряников полпуда 
И не лопнула я",4,ABCB,"['я', 'я', 'полпуда', 'я']",1.0
439,Сгенерировано AI (Perplexity),"Парень мой работал пекарем
Хлеб пёк он каждый день
Но в постели как повар
Все булки выпекал мне",4,ABCB,"['пекарем', 'день', 'повар', 'мне']",1.0
16,Русские народные частушки.html,"Вон те рыжие подружки 
Называются волнушки
Поспеши ты к ним, Иринка, 
Пригласи к себе в корзинку",4,AABB,"['подружки', 'волнушки', 'иринка', 'корзинку']",1.0
250,Сгенерировано AI (Perplexity),"На рынке я торговала
Овощи продавала свежие
Но один покупатель был
Свой товар показал крепкий",4,ABCB,"['торговала', 'свежие', 'был', 'крепкий']",1.0
434,Сгенерировано AI (Perplexity),"Парень мой работал лесорубом
Деревья валил он сильно
Но в постели как дровосек
Все поленья колол стильно",4,ABCB,"['лесорубом', 'сильно', 'дровосек', 'стильно']",1.0
20,Русские народные частушки.html,"Шила милому кисет, 
А вышла рукавица
Пришел милый, похвалил: 
— Какая мастерица!",4,ABCB,"['кисет', 'рукавица', 'похвалил', 'мастерица']",1.0
323,Сгенерировано AI (Perplexity),"Я любила археолога
Он раскопки вёл древние
Но в постели как искатель
Все клады нашёл умелые",4,ABCB,"['археолога', 'древние', 'искатель', 'умелые']",1.0
333,Сгенерировано AI (Perplexity),"Я любила скульптора
Он статуи ваял из камня
Но в постели как мастер
Все формы лепил прямо",4,ABCB,"['скульптора', 'камня', 'мастер', 'прямо']",1.0
57,ChASTUShKI-18-MAT.html,"За рекой ебут барана, 
я баранины хочу 
Если мать меня не женит, 
хуем печку сворочу",4,ABCB,"['барана', 'хочу', 'женит', 'сворочу']",1.0
302,Сгенерировано AI (Perplexity),"Самогонку деду налили
Он выпил три стакана
А когда протрезвел снова
Оказался у фонтана",4,ABCB,"['налили', 'стакана', 'снова', 'фонтана']",1.0
230,Сгенерировано AI (Perplexity),"Милый мой работал в типографии
Книги там он печатал
Но в постели как писатель
Свой роман мне надиктовывал",4,ABCB,"['типографии', 'печатал', 'писатель', 'надиктовывал']",1.0
332,Сгенерировано AI (Perplexity),"Самогонку бабка варит
На дровах её готовит
Выпьешь чарку и забудешь
Кто ты есть и кто тут ходит",4,ABCB,"['варит', 'готовит', 'забудешь', 'ходит']",1.0
133,Русские народные частушки.html,"Что сидите, мужики, 
Штаны протираете? 
В поле только сорняки, 
А вы все гуляете",4,ABCB,"['мужики', 'протираете', 'сорняки', 'гуляете']",1.0
138,Русские народные частушки.html,"Если ягода созрела, 
Надо ягоду сорвать
Звать невестой надоело — 
Знать, пора женою звать!",4,ABCB,"['созрела', 'сорвать', 'надоело', 'звать']",1.0
424,Сгенерировано AI (Perplexity),"Парень мой работал на мельнице
Зерно молол он в муку
Но в постели как мельник
Все жернова крутил в руку",4,ABCB,"['мельнице', 'муку', 'мельник', 'руку']",1.0
336,Сгенерировано AI (Perplexity),"Парень мой работал на маяке
Огонь зажигал он ночью
Но в постели как хранитель
Все вахты нёс он точно",4,ABCB,"['маяке', 'ночью', 'хранитель', 'точно']",1.0
26,Русские народные частушки.html,"Свадьба пьёт и веселится, 
И смеётся, У-ха-ха! 
А невеста пусть гордится, 
Посмотрев на жениха!",4,ABAB,"['веселится', 'ухаха', 'гордится', 'жениха']",1.0
465,Сгенерировано AI (Perplexity),"Самогонку деду дали
Он напился и плясал
А когда остановился
Не понял где он стоял",4,ABCB,"['дали', 'плясал', 'остановился', 'стоял']",1.0
282,Сгенерировано AI (Perplexity),"Самогонку деду дали
Он напился до отвала
А когда очнулся снова
Не понял где его кровать пропала",4,ABCB,"['дали', 'отвала', 'снова', 'пропала']",1.0
248,Сгенерировано AI (Perplexity),"Я работала в гостинице
Номера там убирала
Но один постоялец был
Свою комнату показал наглядно",4,ABCB,"['гостинице', 'убирала', 'был', 'наглядно']",1.0
238,Сгенерировано AI (Perplexity),"Самогонку бабка варит
Получается отменная
Выпьешь рюмку и забудешь
Где жена где не родная",4,ABCB,"['варит', 'отменная', 'забудешь', 'родная']",1.0
118,Русские народные частушки.html,"Надоела в девках воля, 
Мне мила замужних доля, 
Буду мужу помогать я — 
Покупать духи и платья!",4,AABB,"['воля', 'доля', 'помогать я', 'платья']",1.0
43,Русские народные частушки.html,"С пирожками осторожней 
Надо бы, миленок, быть! 
Отравиться ведь возможно - 
Как потом тебя лечить?",4,ABAB,"['осторожней', 'быть', 'возможно', 'лечить']",1.0
221,Сгенерировано AI (Perplexity),"Парень мой шофёр маршрутки
Целый день людей возил
Но в постели как таксист
Все маршруты изучил",4,ABCB,"['маршрутки', 'возил', 'таксист', 'изучил']",1.0
177,Сгенерировано AI (Perplexity),"Самогон пила всю ночку
Утром голова трещит
Милый трогал мою точку
Говорит что не болит",4,ABAB,"['ночку', 'трещит', 'точку', 'болит']",1.0
321,Сгенерировано AI (Perplexity),"Парень мой работал в казино
Карты раздавал он ловко
Но в постели как дилер
Все ставки принимал чётко",4,ABCB,"['казино', 'ловко', 'дилер', 'чётко']",1.0
154,Русские народные частушки.html,"Я частушку на частушку, 
Как на ниточку, вяжу
Ты досказывай, подружка, 
Если я не доскажу",4,ABAB,"['частушку', 'вяжу', 'подружка', 'доскажу']",1.0
232,Сгенерировано AI (Perplexity),"Парень мой работал в шахте
Уголь добывал он в недрах
Но в постели как геолог
Все залежи изучил мои",4,ABCB,"['шахте', 'недрах', 'геолог', 'мои']",1.0
228,Сгенерировано AI (Perplexity),"Самогонку деду лили
Он бухал три дня подряд
А когда протрезвел наконец
Не понял где его клад",4,ABCB,"['лили', 'подряд', 'наконец', 'клад']",1.0
418,Сгенерировано AI (Perplexity),"На дискотеке я плясала
Гармонист играл лихой
Он меня домой проводил
И сыграл на мне другой",4,ABCB,"['плясала', 'лихой', 'проводил', 'другой']",1.0
204,Сгенерировано AI (Perplexity),"Я любила дальнобойщика
Он в рейсах пропадал
А когда домой вернулся
Все три дырки проверял",4,ABCB,"['дальнобойщика', 'пропадал', 'вернулся', 'проверял']",1.0
127,Русские народные частушки.html,"Греет землю жарко лето, 
Свадьба весело идёт, 
И пускай событье это 
Радость в сердце всем несёт!",4,ABAB,"['лето', 'идёт', 'это', 'несёт']",1.0
330,Сгенерировано AI (Perplexity),"На круизе я плыла
Капитан корабль вёл твёрдо
Он меня в каюту позвал
И свой штурвал показал гордо",4,ABCB,"['плыла', 'твёрдо', 'позвал', 'гордо']",1.0
32,Русские народные частушки.html,"Пропоём мы о Ветлуге, 
Слушайте, внимайте! 
Ешьте наши пироги, 
Чаю наливайте!",4,ABCB,"['ветлуге', 'внимайте', 'пироги', 'наливайте']",1.0
114,Русские народные частушки.html,"Милый ходит все кругами
Ничего не говорит
Накормила пирогами - 
У него живот болит!",4,ABAB,"['кругами', 'говорит', 'пирогами', 'болит']",1.0
471,Сгенерировано AI (Perplexity),"Я работала прачкой
Бельё стирала чистое
Но один клиент остался
Своё бельё показал густое",4,ABCB,"['прачкой', 'чистое', 'остался', 'густое']",1.0
272,Сгенерировано AI (Perplexity),"Самогонку бабка гонит
Вся деревня к ней ходит
Выпьют рюмку и танцуют
До утра в хороводе",4,ABCB,"['гонит', 'ходит', 'танцуют', 'хороводе']",1.0
141,ChASTUShKI-18-MAT.html,"Как бежал мимо амбара, 
думал мыши там пищат 
Глянул, две пизды дерутся, 
только волосы трещат",4,ABCB,"['амбара', 'пищат', 'дерутся', 'трещат']",1.0
58,Русские народные частушки.html,"Знать торопится милок, 
Бредит о свиданье
Испеку-ка я пирог, - 
Проявлю вниманье!",4,ABCB,"['милок', 'свиданье', 'пирог', 'вниманье']",1.0
193,Сгенерировано AI (Perplexity),"Баба Клава самогонку
Продаёт по три рубля
Выпил дед и сразу ослеп
Не нашёл свой х*й и меня",4,ABCB,"['самогонку', 'рубля', 'ослеп', 'меня']",1.0
25,Русские народные частушки.html,"Летом каждая полянка, 
Словно скатерть-самобранка
Вкусной ягодой лесной 
Враз накормит нас с тобой",4,AABB,"['полянка', 'самобранка', 'лесной', 'тобой']",1.0
18,Русские народные частушки.html,"Саша с Машей поиграли 
Все игрушки разбросали, 
Стали спорить и кричать 
Кому игрушки собирать!",4,AABB,"['поиграли', 'разбросали', 'кричать', 'собирать']",1.0
266,Сгенерировано AI (Perplexity),"Парень мой работал в цирке
Акробатом был он гибким
Но в постели как атлет
Все трюки выполнял дико",4,ABCB,"['цирке', 'гибким', 'атлет', 'дико']",1.0
67,Русские народные частушки.html,"Семь красавиц, семь сестер 
На лугу зажгли костер
Песни распевают, 
В гости зазывают",4,AABB,"['сестер', 'костер', 'распевают', 'зазывают']",1.0
