№,Источник,Текст,Строк,Схема_рифмовки,Рифмующиеся_слова,Валидность
13,Русские народные частушки.html,"Я стояла за крыльцом, 
А сказали: с молодцом
Я платочек вынимала,
А сказали: целовала",4,AABB,"['крыльцом', 'молодцом', 'вынимала', 'целовала']",1.0
14,Русские народные частушки.html,"Любят маленькие детки 
Всевозможные конфетки
Кто грызет, а кто глотает, 
Кто за щечкою катает",4,AABB,"['детки', 'конфетки', 'глотает', 'катает']",1.0
15,Русские народные частушки.html,"Эх, Семеновна, 
Моя ты крошечка, 
Да я пришел к тебе 
Да под окошечко",4,ABCB,"['семеновна', 'крошечка', 'тебе', 'окошечко']",1.0
16,Русские народные частушки.html,"Вон те рыжие подружки 
Называются волнушки
Поспеши ты к ним, Иринка, 
Пригласи к себе в корзинку",4,AABB,"['подружки', 'волнушки', 'иринка', 'корзинку']",1.0
17,Русские народные частушки.html,"Поленился утром Вова 
Причесаться гребешком, 
Подошла к нему корова, 
Причесала языком!",4,ABAB,"['вова', 'гребешком', 'корова', 'языком']",1.0
18,Русские народные частушки.html,"Саша с Машей поиграли 
Все игрушки разбросали, 
Стали спорить и кричать 
Кому игрушки собирать!",4,AABB,"['поиграли', 'разбросали', 'кричать', 'собирать']",1.0
19,ChASTUShKI-18-MAT.html,"За деревней у реки 
баба сенокосила 
Увидала хуй большой, 
сразу косу бросила",4,ABCB,"['реки', 'сенокосила', 'большой', 'бросила']",1.0
20,Русские народные частушки.html,"Шила милому кисет, 
А вышла рукавица
Пришел милый, похвалил: 
— Какая мастерица!",4,ABCB,"['кисет', 'рукавица', 'похвалил', 'мастерица']",1.0
21,Русские народные частушки.html,"Утром маме наша Мила 
Две конфетки подарила
Подарить едва успела, 
Тут же их сама и съела",4,AABB,"['мила', 'подарила', 'успела', 'съела']",1.0
22,Русские народные частушки.html,"У меня на сарафане 
Петушки да петушки 
В целом мире нету краше 
Моей милой бабушки!",4,ABCB,"['сарафане', 'петушки', 'краше', 'бабушки']",1.0
23,Русские народные частушки.html,"А как боркински ребята 
Храбрецы так храбрецы
Три километра бежали — 
Испугалися овцы",4,ABCB,"['ребята', 'храбрецы', 'бежали', 'овцы']",1.0
24,Русские народные частушки.html,"Ненадежные девицы 
Переполнили страну
В наше время положиться 
Можно только на жену!",4,ABCB,"['девицы', 'страну', 'положиться', 'жену']",1.0
25,Русские народные частушки.html,"Летом каждая полянка, 
Словно скатерть-самобранка
Вкусной ягодой лесной 
Враз накормит нас с тобой",4,AABB,"['полянка', 'самобранка', 'лесной', 'тобой']",1.0
26,Русские народные частушки.html,"Свадьба пьёт и веселится, 
И смеётся, У-ха-ха! 
А невеста пусть гордится, 
Посмотрев на жениха!",4,ABAB,"['веселится', 'ухаха', 'гордится', 'жениха']",1.0
27,Русские народные частушки.html,"За деревней на пруду 
Квакают лягушки
А я милёночку лапшу - 
Вешаю на ушки",4,ABCB,"['пруду', 'лягушки', 'лапшу', 'ушки']",1.0
28,Русские народные частушки.html,"Ох, кошка, брысь! 
На-порог не садись: 
А то миленький пойдет 
Спотыкнется — упадет",4,AABB,"['брысь', 'садись', 'пойдете', 'упадет']",1.0
29,Veselye-Russkie-chastushki.html,"Не ходи по коридору 
Не стучи калошами 
Всё равно любить не буду 
Морда как у лошади!",4,ABAB,"['коридору', 'калошами', 'буду', 'лошади']",1.0
30,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мой милёнок под забором
хуй берёзовый нашёл 
Примеряли всем народом — 
никому не подошёл!",4,ABCB,"['забором', 'нашёл', 'народом', 'подошёл']",1.0
31,Русские народные частушки.html,"У меня на сарафане 
Косолапы петухи; 
Я сама не косолапа — 
Косолапы женихи",4,ABCB,"['сарафане', 'петухи', 'косолапа', 'женихи']",1.0
32,Русские народные частушки.html,"Пропоём мы о Ветлуге, 
Слушайте, внимайте! 
Ешьте наши пироги, 
Чаю наливайте!",4,ABCB,"['ветлуге', 'внимайте', 'пироги', 'наливайте']",1.0
33,ChASTUShKI-18-MAT.html,"Эх ёп вашу мать 
с вашими делами 
Не даете девку замуж, 
так ебите сами",4,ABCB,"['мать', 'делами', 'замуж', 'сами']",1.0
34,Русские народные частушки.html,"Я накрашу губки ярко, 
Я пойду через село, 
Будет всем ребятам жарко, 
Ну а мне-то - весело",4,ABAB,"['ярко', 'село', 'жарко', 'весело']",1.0
35,Русские народные частушки.html,"Я искал себе невесту, Пол-России истоптал
Друг, признайся, только честно: Где таку красотку взял?
Ой, колечко ты моё, Золотая проба
Буду милую любить До самого гроба!",4,AABB,"['истоптал', 'взял', 'проба', 'гроба']",1.0
36,Русские народные частушки.html,"Миленький, не стукайся, 
Хорошенький, не брякайся, 
Под середнее окно 
Тихонько поцарапайся",4,ABCB,"['стукайся', 'брякайся', 'окно', 'поцарапайся']",1.0
37,Русские народные частушки.html,"Я к милашке приезжаю
За столом я пью компот
Рядом милая садится
Пирожки кладёт мне в рот",4,ABCB,"['приезжаю', 'компот', 'садится', 'рот']",1.0
38,ChASTUShKI-18-MAT.html,"Над селом хуйня летала
с серебристого металла 
Очень много в наши дни 
неопознанной хуйни",4,AABB,"['летала', 'металла', 'дни', 'хуйни']",1.0
39,Русские народные частушки.html,"Я куличик испекла, 
Угостила Ваню
Он за это показал 
Мне жука в стакане",4,ABCB,"['испекла', 'ваню', 'показал', 'стакане']",1.0
40,Русские народные частушки.html,"Я цветочки поливала 
На балконе леечкой
Почему-то стал вдруг мокрым 
Дядя на скамеечке",4,ABCB,"['поливала', 'леечкой', 'мокрым', 'скамеечке']",1.0
41,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"Хилми в хату вошёл сразу — 
Все загадки выучил 
Но нарочно ошибался — 
выбирал ведь не вилочку",4,ABCB,"['сразу', 'выучил', 'ошибался', 'вилочку']",1.0
42,Veselye-Russkie-chastushki.html,"Не ругай меня, маманя, 
Что сметану пролила, 
Под окошком шёл Алёшка, 
Я без памяти была",4,ABCB,"['маманя', 'пролила', 'алёшка', 'была']",1.0
43,Русские народные частушки.html,"С пирожками осторожней 
Надо бы, миленок, быть! 
Отравиться ведь возможно - 
Как потом тебя лечить?",4,ABAB,"['осторожней', 'быть', 'возможно', 'лечить']",1.0
44,Русские народные частушки.html,"Я корова хоть куда! 
Как венец мои рога
Кто меня проведает, 
Молочка отведает!",4,AABB,"['куда', 'рога', 'проведает', 'отведает']",1.0
45,Русские народные частушки.html,"Я любила бабу Дусю, 
Пироги когда пекла 
С винегретом и морковкой, 
То меня всегда звала",4,ABCB,"['дусю', 'пекла', 'морковкой', 'звала']",1.0
46,Русские народные частушки.html,"Ай да серенький коток 
Пошел к речке под мосток, 
В воду хвостик опустил, 
Кошкам рыбы наловил!",4,AABB,"['коток', 'мосток', 'опустил', 'наловил']",1.0
47,Русские народные частушки.html,"Закопченную кастрюлю 
Маня чистила песком
Три часа под душем Маню 
Мыла бабушка потом",4,ABCB,"['кастрюлю', 'песком', 'маню', 'потом']",1.0
48,Русские народные частушки.html,"Меня молодцы не любят 
И не любят мужики, 
А я бегаю с соплями 
И пускаю пузыри",4,ABCB,"['любят', 'мужики', 'соплями', 'пузыри']",1.0
49,Русские народные частушки.html,"Пироги в обед с вареньем  
Тоже очень вредны нам
Мы теперь их с наслажденьем  
Кушаем по вечерам!",4,ABAB,"['вареньем', 'нам', 'наслажденьем', 'вечерам']",1.0
50,Русские народные частушки.html,"Заиграй-ка, балалайка, 
Балалайка - три струны! 
Подпевайте, не зевайте, 
Выходите, плясуны",4,ABCB,"['балалайка', 'струны', 'зевайте', 'плясуны']",1.0
51,Русские народные частушки.html,"Вот как Петя хорошо 
Поливает грядку! 
Там теперь все лягушата 
Делают зарядку",4,ABCB,"['хорошо', 'грядку', 'лягушата', 'зарядку']",1.0
52,Русские народные частушки.html,"Хороша у нас природа, 
Речка рядом, лес кругом! 
Угощайтесь-ка с малиной 
Да и с рыбкой пирогом!",4,ABCB,"['природа', 'кругом', 'малиной', 'пирогом']",1.0
53,Русские народные частушки.html,"По селу хожу с Тимошкой, 
А Тимошка мой — с гармошкой
Он играет, напевает, 
Ветер кудри развевает",4,AABB,"['тимошкой', 'гармошкой', 'напевает', 'развевает']",1.0
54,ChASTUShKI-18-MAT.html,"Когда дождик моросил, 
я стоял тебя просил 
Когда дождик перестал, 
ты дала, а я не стал",4,AABB,"['моросил', 'просил', 'перестал', 'стал']",1.0
55,Русские народные частушки.html,"Ну, какая это стать, 
Ведра на гору таскать? 
Я пойду замуж туда, 
Где под окошечком вода",4,AABB,"['стать', 'таскать', 'туда', 'вода']",1.0
56,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Как у нас на опушке 
соловей ебёт кукушку, 
Только слышно на суку: 
«Чирик, пиздык, хуяк, ку-ку!»",4,AABB,"['опушке', 'кукушку', 'суку', 'куку']",1.0
57,ChASTUShKI-18-MAT.html,"За рекой ебут барана, 
я баранины хочу 
Если мать меня не женит, 
хуем печку сворочу",4,ABCB,"['барана', 'хочу', 'женит', 'сворочу']",1.0
58,Русские народные частушки.html,"Знать торопится милок, 
Бредит о свиданье
Испеку-ка я пирог, - 
Проявлю вниманье!",4,ABCB,"['милок', 'свиданье', 'пирог', 'вниманье']",1.0
59,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Я на Севере была, 
золото копала 
Если б не моя пизда — 
с голоду б пропала!",4,ABCB,"['была', 'копала', 'пизда', 'пропала']",1.0
60,Русские народные частушки.html,"У меня хороший повод — 
Петь частушки и плясать
Поздравляю тебя, теща, 
У тебя хороший зять!",4,ABCB,"['повод', 'плясать', 'теща', 'зять']",1.0
61,Veselye-Russkie-chastushki.html,"На столе стоит стакан, 
А в стакане лилия
Меня милый записал 
На свою фамилию",4,ABCB,"['стакан', 'лилия', 'записал', 'фамилию']",1.0
62,Veselye-Russkie-chastushki.html,"Стоит милый у ворот, 
Широко разинул рот
Я не долго думала, 
Подошла и плюнула",4,AABB,"['ворот', 'рот', 'думала', 'плюнула']",1.0
63,Русские народные частушки.html,"Выйду, выйду я плясать 
В новеньких ботинках, 
Все ребята говорят, 
Что я как картинка!",4,ABAB,"['плясать', 'ботинках', 'говорят', 'картинка']",1.0
64,Русские народные частушки.html,"Мой миленок занемог,
Когда мне испёк пирог, 
Слопал сам, теперь страдает – 
И все крошки доедает",4,AABB,"['занемог', 'пирог', 'страдает', 'доедает']",1.0
65,ChASTUShKI-18-MAT.html,"Цыган цыганке говорит - 
У меня всегда стоит 
На столе бутылочка
Давай ка выпьем, милочка",4,AABB,"['говорит', 'стоит', 'бутылочка', 'милочка']",1.0
66,ChASTUShKI-18-MAT.html,"Гармонист у нас хороший, 
гармонист у нас один 
Давай девки соберемся 
и по разику дадим",4,ABCB,"['хороший', 'один', 'соберемся', 'дадим']",1.0
67,Русские народные частушки.html,"Семь красавиц, семь сестер 
На лугу зажгли костер
Песни распевают, 
В гости зазывают",4,AABB,"['сестер', 'костер', 'распевают', 'зазывают']",1.0
68,Русские народные частушки.html,"Дояр Вася загрустил, 
И вздохнул устало
Всех коровок подоил, 
А надоя - мало!",4,ABCB,"['загрустил', 'устало', 'подоил', 'мало']",1.0
69,Русские народные частушки.html,"Выбрал кот одну тропинку 
И на ней он встретил Нинку
Несла Нинка пирожки, - 
Коту радость и смешки",4,AABB,"['тропинку', 'нинку', 'пирожки', 'смешки']",1.0
70,Русские народные частушки.html,"В прятки мы в лесу играли 
И Оксанку потеряли
Забралась в дупло она – 
Проспала там до темна!",4,AABB,"['играли', 'потеряли', 'она', 'темна']",1.0
71,Русские народные частушки.html,"Не ругай меня, маманя, 
Не ругай так грозно
Ты сама была такая — 
Приходила поздно",4,ABAB,"['маманя', 'грозно', 'такая', 'поздно']",1.0
72,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Я сосала давеча 
у Сергея Савича, 
Он на вид холёненький, 
а на вкус солёненький!",4,AABB,"['давеча', 'савича', 'холёненький', 'солёненький']",1.0
73,Русские народные частушки.html,"Я готовила по книжке, 
А она закрылася… 
Как теперь я угадаю, 
Что же там сварилося",4,ABCB,"['книжке', 'закрылася', 'угадаю', 'сварилося']",1.0
74,Русские народные частушки.html,"Кипятила молоко, 
Отошла недалеко,
Подхожу к нему опять: 
Молока уж не видать",4,AABB,"['молоко', 'недалеко', 'опять', 'видать']",1.0
75,Русские народные частушки.html,"Три недели не купался, 
И поймал не пузе вошь
Она толстая, большая, 
Из винтовки не убьешь",4,ABCB,"['купался', 'вошь', 'большая', 'убьешь']",1.0
76,Русские народные частушки.html,"Ах, топнула я, 
И не топнула я
Съела пряников полпуда 
И не лопнула я",4,ABCB,"['я', 'я', 'полпуда', 'я']",1.0
77,Русские народные частушки.html,"Вы пеките пироги 
И не лезьте, мама! 
Встали вы не с той ноги, - 
Зять твердил упрямо",4,ABAB,"['пироги', 'мама', 'ноги', 'упрямо']",1.0
78,Русские народные частушки.html,"Я под краном руки мыла, 
А лицо умыть забыла, 
Увидал меня Трезор 
Гавкнул он: «Какой позор!»",4,AABB,"['мыла', 'забыла', 'трезор', 'позор']",1.0
79,Русские народные частушки.html,"Приезжали меня сватать 
С позолоченной дугой
Пока пудрилась, румянилась, 
Уехали к другой",4,ABCB,"['сватать', 'дугой', 'румянилась', 'другой']",1.0
80,Русские народные частушки.html,"Музыка у нас играет — 
Пусть не остановится! 
Муж жену когда целует — 
Завидно становится!",4,ABCB,"['играет', 'остановится', 'целует', 'становится']",1.0
81,Русские народные частушки.html,"Я сидела на окошке, 
Ехал милый мой на кошке, 
Стал к окошку подъезжать 
Не мог кошку удержать",4,AABB,"['окошке', 'кошке', 'подъезжать', 'удержать']",1.0
82,Русские народные частушки.html,"Одевался Дима утром 
И свалился почему-то: 
Он засунул без причины 
Две ноги в одну штанину",4,AABB,"['утром', 'почемуто', 'причины', 'штанину']",1.0
83,Veselye-Russkie-chastushki.html,"Ах, была я молодая, 
Ах, была я резвая, 
И в окошко за гармошкой 
К гармонисту лезла я!",4,ABCB,"['молодая', 'резвая', 'гармошкой', 'я']",1.0
84,Русские народные частушки.html,"Эх, подружка дорогая, 
Про нас знает весь народ
Без тебя никто не спляшет, 
Без меня — не запоет",4,ABAB,"['дорогая', 'народ', 'спляшет', 'запоет']",1.0
85,Veselye-Russkie-chastushki.html,"Не хочу я чаю пить, 
Не хочу заваривать, 
Не хочу тебя любить 
И даже разговаривать!",4,ABAB,"['пить', 'заваривать', 'любить', 'разговаривать']",1.0
86,Русские народные частушки.html,"Не хватает у нас места, 
Негде яблоку упасть! 
Хороша, свежа невеста, 
Так и хочется украсть!",4,ABAB,"['места', 'упасть', 'невеста', 'украсть']",1.0
87,Русские народные частушки.html,"Завела гармонь девчонку, 
От любви блестят глаза
Полюбила гармониста, 
Не сдержала тормоза",4,ABCB,"['девчонку', 'глаза', 'гармониста', 'тормоза']",1.0
88,Veselye-Russkie-chastushki.html,"Песни петь – ноги кривые, 
Плясать – голос не дает
Я пошел бы к теще в гости, 
Да не знаю, где живет",4,ABCB,"['кривые', 'дает', 'гости', 'живет']",1.0
89,Русские народные частушки.html,"Что-то к тёще захотел, 
Пироги есть славные! 
Эх, вернемся мы назад, 
Гости мы не званные",4,ABCB,"['захотел', 'славные', 'назад', 'званные']",1.0
90,ChASTUShKI-18-MAT.html,"На горе стоит береза, 
а береза гнутая 
По твоим глазам я вижу, 
что ты ебанутая",4,ABCB,"['береза', 'гнутая', 'вижу', 'ебанутая']",1.0
91,Русские народные частушки.html,"Нарисую пирамиду, 
Нарисую я кружок
Удивляются другие, - 
Какой толстый пирожок",4,ABCB,"['пирамиду', 'кружок', 'другие', 'пирожок']",1.0
92,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Полюбила хунвейбина 
и повесила портрет 
А на утро поглядела: 
хуй висит, а бина нет!",4,ABCB,"['хунвейбина', 'портрет', 'поглядела', 'нет']",1.0
93,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Полюбила парня я,
да оказался без хуя, 
Да нахуя ж мне без хуя, 
когда с хуем дохуя?!",4,ABCB,"['я', 'хуя', 'хуя', 'дохуя']",1.0
94,Русские народные частушки.html,"Ой деды, деды, деды! 
До чего же вы хитры, 
Как иду я по воду - 
Седина вам в бороду",4,AABB,"['деды', 'хитры', 'воду', 'бороду']",1.0
95,Русские народные частушки.html,"Кто куда? А я всё к маме
К тёще еду на блины
Нас накормит пирогами
Очень уж они вкусны",4,ABAB,"['маме', 'блины', 'пирогами', 'вкусны']",1.0
96,Русские народные частушки.html,"Мы с милёночком гуляли 
Возле нашего пруда; 
Нас лягушки напугали 
— Не пойдем больше туда",4,ABCB,"['гуляли', 'пруда', 'напугали', 'туда']",1.0
97,Русские народные частушки.html,"Подгорели пироги, 
Их соседи принесли
Я немного откушу 
И в соседа запущу",4,AABB,"['пироги', 'принесли', 'откушу', 'запущу']",1.0
98,Русские народные частушки.html,"Как по саду-огороду 
Любит козочка гулять
После этого похода 
Урожая не собрать!",4,ABCB,"['садуогороду', 'гулять', 'похода', 'собрать']",1.0
99,Русские народные частушки.html,"– Это что же за грибочки 
Облепили все пенёчки? 
– Повезло же вам, ребята, 
Это – дружные опята!",4,AABB,"['грибочки', 'пенёчки', 'ребята', 'опята']",1.0
100,Русские народные частушки.html,"Напекла я пирогов, 
На окно поставила
Поклевала все ворона, 
Крошек не оставила",4,ABCB,"['пирогов', 'поставила', 'ворона', 'оставила']",1.0
101,Veselye-Russkie-chastushki.html,"Как заслышу я гармошку, 
Заиграет кровь ключом
Увлеклась я гармонистом, 
А гармошка – ни при чем!",4,ABCB,"['гармошку', 'ключом', 'гармонистом', 'чем']",1.0
102,Русские народные частушки.html,"Вам под самой крышей рая 
Свить гнездо своё желаем! 
И чтоб было то гнездо 
Полной чашей на все сто!",4,AABB,"['рая', 'желаем', 'гнездо', 'сто']",1.0
103,Русские народные частушки.html,"Говорит лентяйке мать: 
«Убери свою кровать!», 
А лентяйка: «Маменька, 
Я же еще маленька»",4,AABB,"['мать', 'кровать', 'маменька', 'маленька']",1.0
104,Русские народные частушки.html,"Разрешила мама дочке 
Утром сбегать по грибочки
Принесла дочурка скоро 
Две корзинки мухоморов",4,AABB,"['дочке', 'грибочки', 'скоро', 'мухоморов']",1.0
105,Veselye-Russkie-chastushki.html,"Как я рос да распускался 
До семнадцати годов, 
А в семнадцать на тусовке 
Я остался без зубов",4,ABCB,"['распускался', 'годов', 'тусовке', 'зубов']",1.0
106,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"А из-за леса, из-за гор 
показал мужик топор 
Но не просто показал — 
его к хую привязал!",4,AABB,"['гор', 'топор', 'показал', 'привязал']",1.0
107,Русские народные частушки.html,"Тучки по небу плывут, 
Отражаясь в озере
А Тарас приехал к Нюре, 
На своём бульдозере",4,ABCB,"['плывут', 'озере', 'нюре', 'бульдозере']",1.0
108,Русские народные частушки.html,"А мне милый подарил 
Любовь свою верную, 
А я ему подарила 
Свою безразмерную",4,ABCB,"['подарил', 'верную', 'подарила', 'безразмерную']",1.0
109,ChASTUShKI-18-MAT.html,"Полюбила ты его,
думала калека 
А как вывалил из штанов, 
убьет человека",4,ABCB,"['его', 'калека', 'штанов', 'человека']",1.0
110,Русские народные частушки.html,"Тесть на свадьбе — генерал! 
Дочку замуж он отдал! 
Он уверен: счастье будет! 
Зять невесту очень любит!",4,AABB,"['генерал', 'отдал', 'будет', 'любит']",1.0
111,ChASTUShKI-18-MAT.html,"Шел я лесом видел чудо, 
чудо видело меня 
Если б я не выеб чудо, 
чудо б выебло меня",4,ABAB,"['чудо', 'меня', 'чудо', 'меня']",1.0
112,Русские народные частушки.html,"Свадьба пусть поёт и пляшет, 
Расцветает, как букет… 
Тёща ручкой нежно машет 
И свекрови шлёт привет!",4,ABAB,"['пляшет', 'букет', 'машет', 'привет']",1.0
113,Русские народные частушки.html,"На трубе сидит петух
Он кричит, что видит двух: 
Ванечку с цветами, 
Петеньку с деньгами!",4,AABB,"['петух', 'двух', 'цветами', 'деньгами']",1.0
114,Русские народные частушки.html,"Милый ходит все кругами
Ничего не говорит
Накормила пирогами - 
У него живот болит!",4,ABAB,"['кругами', 'говорит', 'пирогами', 'болит']",1.0
115,ChASTUShKI-18-MAT.html,"Подари мне милый мину, 
я в пизду ее закину 
Если враг туда ворвется, 
он на мине подорвется",4,AABB,"['мину', 'закину', 'ворвется', 'подорвется']",1.0
116,Русские народные частушки.html,"Приходи ко мне любимый, 
Пирогами накормлю
Даже, если очень сивый, 
Все равно тебя люблю",4,ABAB,"['любимый', 'накормлю', 'сивый', 'люблю']",1.0
117,Русские народные частушки.html,"Я не тятькина 
Я не мамкина - 
Я на улице росла, 
Меня курица снесла",4,AABB,"['тятькина', 'мамкина', 'росла', 'снесла']",1.0
118,Русские народные частушки.html,"Надоела в девках воля, 
Мне мила замужних доля, 
Буду мужу помогать я — 
Покупать духи и платья!",4,AABB,"['воля', 'доля', 'помогать я', 'платья']",1.0
119,Русские народные частушки.html,"Ты зачем расцвел, 
Василек, во ржи? 
Ты зачем пришел, 
Милый мой, скажи?",4,ABAB,"['расцвел', 'ржи', 'пришел', 'скажи']",1.0
120,Русские народные частушки.html,"У кого какой миленок — 
У меня ремесленный: 
Отдала ботинки шить — 
Сшил бурак берестяный",4,ABCB,"['миленок', 'ремесленный', 'шить', 'берестяный']",1.0
121,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"На Вогрэсовском мосту 
церковь обокрали 
В жопу выебли попа 
и в колокол насрали!",4,ABCB,"['мосту', 'обокрали', 'попа', 'насрали']",1.0
122,Русские народные частушки.html,"Две лопатки у Егора, 
А у Нины - формочки
Я за это им язык 
Высуну из форточки",4,ABCB,"['егора', 'формочки', 'язык', 'форточки']",1.0
123,Русские народные частушки.html,"Пашут во поле весной наши трактористы, 
А целуют под сосной наши гармонисты
Мы пололи огород, парни веселилися
Жарко стало, мы разделись, а они свалилися",4,AABB,"['трактористы', 'гармонисты', 'веселилися', 'свалилися']",1.0
124,Русские народные частушки.html,"Письму мышонка дед учил, 
А вышли-то каракули
Мышонок двойку получил
И оба горько плакали",4,ABAB,"['учил', 'каракули', 'получил', 'плакали']",1.0
125,Русские народные частушки.html,"Солнце весело сияет, 
Нет причины хмуриться
Бабы по полю идут, 
И на Солнце жмурятся",4,ABCB,"['сияет', 'хмуриться', 'идут', 'жмурятся']",1.0
126,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с милёнком у метра
целовались до утра, 
Целовались бы ещё, 
да болит влагалищо!",4,AABB,"['метра', 'утра', 'ещё', 'влагалищо']",1.0
127,Русские народные частушки.html,"Греет землю жарко лето, 
Свадьба весело идёт, 
И пускай событье это 
Радость в сердце всем несёт!",4,ABAB,"['лето', 'идёт', 'это', 'несёт']",1.0
128,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с милёночком еблись 
в сорокоградусный мороз, 
Жопа инеем покрылась, 
хуй стоял, как Дед Мороз!",4,ABCB,"['еблись', 'мороз', 'покрылась', 'мороз']",1.0
129,Русские народные частушки.html,"Молодая, ты послушно 
Выполняй наказы мужа, 
Муж, жене будь верным 
Не действуй ей на нервы!",4,AABB,"['послушно', 'мужа', 'верным', 'нервы']",1.0
130,Veselye-Russkie-chastushki.html,"Как дубинкой вас ударят – 
Вы невольно вскрикнете
Раз ударят, два ударят, 
А потом привыкнете",4,ABAB,"['ударят', 'вскрикнете', 'ударят', 'привыкнете']",1.0
131,Русские народные частушки.html,"Написал я ей сонеты, 
Называл её «дружок», 
А она в ответ на это: 
Скушай с полки пирожок!",4,ABCB,"['сонеты', 'дружок', 'это', 'пирожок']",1.0
132,Русские народные частушки.html,"Что случилось, ой-ой-ой, 
Не найти нам места: 
Дочка махонька такая — 
Вот уж и невеста!",4,ABCB,"['ойойой', 'места', 'такая', 'невеста']",1.0
133,Русские народные частушки.html,"Что сидите, мужики, 
Штаны протираете? 
В поле только сорняки, 
А вы все гуляете",4,ABCB,"['мужики', 'протираете', 'сорняки', 'гуляете']",1.0
134,Русские народные частушки.html,"Нету лета без июля, 
А июля без цветов; 
Нет любви без поцелуя — 
В поцелуе вся любовь!",4,ABAB,"['июля', 'цветов', 'поцелуя', 'любовь']",1.0
135,Русские народные частушки.html,"На рыбалку я ходил, 
Удочку закинул
Клюнул толстый крокодил – 
Лодку опрокинул!",4,ABAB,"['ходил', 'закинул', 'крокодил', 'опрокинул']",1.0
136,Русские народные частушки.html,"Милый, что, милый, что? 
Милый сердится на что? 
То ли люди что сказали, 
То ли сам заметил что?",4,ABCB,"['что', 'что', 'сказали', 'что']",1.0
137,Русские народные частушки.html,"Ох, ты, яма, яма, яма… 
Я не знаю, кто копал
Шел милёнок на свиданье, 
Невзначай в неё упал",4,ABCB,"['яма', 'копал', 'свиданье', 'упал']",1.0
